pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
65409,30.88606,75.69694,-7.59,0.32,0.52,0.72,0.166,0.757,9.37,0.170,-7.66,-7.57,0.83,indeterminate
65410,30.88606,75.69794,-5.96,0.29,0.37,0.66,0.010,0.671,9.05,0.221,-5.64,-6.00,0.83,indeterminate
65411,30.88606,75.69894,-6.27,0.30,0.49,0.68,0.131,0.692,9.12,0.248,-6.15,-6.27,0.83,indeterminate
65412,30.88606,75.69994,-5.50,0.28,0.54,0.65,0.030,0.644,8.89,0.243,-5.31,-5.55,0.83,indeterminate
65413,30.88606,75.70094,-5.39,0.29,0.33,0.68,0.889,0.637,8.83,0.237,-5.09,-5.45,0.83,indeterminate
65414,30.88606,75.70194,-4.85,0.29,0.45,0.70,0.872,0.585,8.85,0.262,-4.55,-4.90,0.83,indeterminate
65415,30.88606,75.70294,-5.92,0.31,0.41,0.69,0.011,0.672,8.98,0.335,-5.81,-5.94,0.83,indeterminate
65416,30.88606,75.70394,-5.30,0.31,0.42,0.70,0.929,0.630,8.79,0.391,-4.96,-5.39,0.83,indeterminate
65417,30.88606,75.70494,-4.63,0.31,0.49,0.72,0.857,0.565,8.80,0.432,-4.28,-4.72,0.83,indeterminate
65418,30.88606,75.70594,-5.17,0.31,0.37,0.70,0.864,0.624,8.71,0.449,-4.75,-5.30,0.83,indeterminate
65419,30.88606,75.70694,-4.83,0.31,0.54,0.71,0.887,0.593,8.66,0.281,-4.39,-4.98,0.83,indeterminate
65420,30.88606,75.70794,-4.28,0.30,0.48,0.69,0.910,0.539,8.58,0.244,-3.81,-4.43,0.83,indeterminate
65421,30.88606,75.70894,-4.38,0.30,0.61,0.69,0.945,0.558,8.45,0.268,-3.91,-4.55,0.83,indeterminate
65422,30.88606,75.70994,-4.84,0.30,0.54,0.67,0.980,0.607,8.45,0.265,-4.50,-4.97,0.83,indeterminate
65423,30.88606,75.71094,-4.37,0.30,0.70,0.70,0.946,0.560,8.37,0.205,-3.86,-4.55,0.83,indeterminate
65424,30.88606,75.71194,-4.70,0.30,0.70,0.68,0.935,0.604,8.23,0.166,-4.20,-4.87,0.83,indeterminate
65426,30.88606,75.71394,-4.53,0.30,0.77,0.68,0.904,0.593,8.13,0.153,-3.95,-4.72,0.83,indeterminate
65427,30.88606,75.71494,-3.66,0.29,0.90,0.71,0.890,0.489,8.07,0.217,-3.08,-3.85,0.83,indeterminate
65428,30.88606,75.71594,-3.68,0.28,0.78,0.70,0.945,0.491,8.10,0.243,-3.33,-3.80,0.83,indeterminate
65429,30.88606,75.71694,-2.97,0.29,0.85,0.71,0.962,0.390,8.01,0.255,-2.66,-3.10,0.83,indeterminate
65430,30.88606,75.71794,-2.95,0.29,0.84,0.70,0.958,0.390,7.96,0.266,-2.53,-3.11,0.83,indeterminate
65431,30.88606,75.71894,-2.80,0.30,0.95,0.72,0.918,0.365,7.95,0.231,-2.22,-2.98,0.83,indeterminate
65432,30.88606,75.71994,-1.58,0.29,1.14,0.72,0.902,0.161,7.78,0.202,-0.83,-1.80,0.67,indeterminate
