pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
28996,28.59706,77.24433,2.21,0.34,1.55,1.10,0.814,0.195,11.89,0.323,1.71,2.50,0.29,indeterminate
28997,28.59706,77.24533,2.74,0.34,1.66,1.12,0.836,0.266,12.01,0.214,2.38,2.98,0.29,indeterminate
29002,28.59706,77.25033,2.45,0.33,2.08,1.12,0.840,0.229,12.11,0.211,2.28,2.58,0.29,indeterminate
29003,28.59706,77.25133,1.31,0.34,2.25,1.16,0.833,0.089,12.28,0.275,0.76,1.64,0.57,indeterminate
29004,28.59706,77.25233,2.25,0.34,2.10,1.13,0.854,0.199,12.27,0.281,2.23,2.29,0.57,indeterminate
29005,28.59706,77.25333,1.54,0.34,2.12,1.12,0.866,0.116,12.15,0.256,1.35,1.70,0.57,indeterminate
29006,28.59706,77.25433,0.18,0.34,2.13,1.13,0.855,0.017,12.22,0.228,-0.38,0.56,0.57,elastic_dominant
29007,28.59706,77.25533,1.99,0.34,2.51,1.13,0.861,0.174,12.20,0.190,1.76,2.18,0.43,indeterminate
29008,28.59706,77.25633,0.97,0.34,2.36,1.15,0.843,0.061,12.26,0.305,0.62,1.17,0.43,elastic_dominant
29009,28.59706,77.25733,2.12,0.35,2.60,1.17,0.856,0.184,12.44,0.332,1.95,2.22,0.43,indeterminate
29010,28.59706,77.25833,1.68,0.35,2.41,1.17,0.861,0.128,12.58,0.332,1.78,1.78,0.57,indeterminate
29011,28.59706,77.25933,1.12,0.34,2.22,1.14,0.868,0.071,12.48,0.297,0.56,1.49,0.57,indeterminate
29012,28.59706,77.26033,0.92,0.34,2.12,1.12,0.862,0.053,12.39,0.268,0.67,1.08,0.57,elastic_dominant
29013,28.59706,77.26133,0.95,0.33,2.40,1.12,0.878,0.060,12.44,0.218,0.63,1.18,0.57,elastic_dominant
29015,28.59706,77.26333,-1.86,0.34,2.04,1.17,0.858,0.126,12.64,0.158,-2.50,-1.47,0.57,indeterminate
29043,28.59706,77.29133,2.70,0.36,1.95,1.15,0.876,0.241,12.81,0.182,2.36,2.77,0.29,indeterminate
29044,28.59706,77.29233,1.80,0.37,2.28,1.20,0.847,0.132,12.88,0.312,1.20,2.02,0.57,indeterminate
29045,28.59706,77.29333,2.48,0.36,2.24,1.19,0.828,0.214,12.79,0.388,1.81,2.72,0.43,indeterminate
29046,28.59706,77.29433,2.45,0.35,2.08,1.18,0.825,0.211,12.66,0.414,1.74,2.69,0.43,indeterminate
29047,28.59706,77.29533,2.43,0.35,1.99,1.16,0.817,0.211,12.55,0.473,1.83,2.60,0.43,indeterminate
29048,28.59706,77.29633,2.21,0.35,1.99,1.16,0.807,0.180,12.62,0.519,1.49,2.42,0.43,indeterminate
29049,28.59706,77.29733,2.14,0.35,1.97,1.15,0.799,0.171,12.65,0.540,1.50,2.29,0.43,indeterminate
29050,28.59706,77.29833,1.96,0.36,2.05,1.17,0.794,0.146,12.76,0.536,1.29,2.11,0.43,indeterminate
29051,28.59706,77.29933,1.65,0.35,2.05,1.16,0.796,0.111,12.84,0.482,0.98,1.80,0.43,indeterminate
